ServiceLifecycleDispatcher,android.arch.lifecycle.ServiceLifecycleDispatcher,androidx.lifecycle.ServiceLifecycleDispatcher
SingleGeneratedAdapterObserver,android.arch.lifecycle.SingleGeneratedAdapterObserver,androidx.lifecycle.SingleGeneratedAdapterObserver
TransformationKt,android.arch.lifecycle.TransformationKt,androidx.lifecycle.TransformationKt
Transformations,android.arch.lifecycle.Transformations,androidx.lifecycle.Transformations
Validator,android.arch.lifecycle.Validator,androidx.lifecycle.Validator
ViewModel,android.arch.lifecycle.ViewModel,androidx.lifecycle.ViewModel
ViewModelProvider,android.arch.lifecycle.ViewModelProvider,androidx.lifecycle.ViewModelProvider
ViewModelProviders,android.arch.lifecycle.ViewModelProviders,androidx.lifecycle.ViewModelProviders
ViewModelStore,android.arch.lifecycle.ViewModelStore,androidx.lifecycle.ViewModelStore
ViewModelStoreOwner,android.arch.lifecycle.ViewModelStoreOwner,androidx.lifecycle.ViewModelStoreOwner
ViewModelStores,android.arch.lifecycle.ViewModelStores,androidx.lifecycle.ViewModelStores
WriterKt,android.arch.lifecycle.WriterKt,androidx.lifecycle.WriterKt
AsyncPagedListDiffer,android.arch.paging.AsyncPagedListDiffer,androidx.paging.AsyncPagedListDiffer
ContiguousDataSource,android.arch.paging.ContiguousDataSource,androidx.paging.ContiguousDataSource
ContiguousPagedList,android.arch.paging.ContiguousPagedList,androidx.paging.ContiguousPagedList
DataSource,android.arch.paging.DataSource,androidx.paging.DataSource
ItemKeyedDataSource,android.arch.paging.ItemKeyedDataSource,androidx.paging.ItemKeyedDataSource
ListDataSource,android.arch.paging.ListDataSource,androidx.paging.ListDataSource
LivePagedListBuilder,android.arch.paging.LivePagedListBuilder,androidx.paging.LivePagedListBuilder
LivePagedListProvider,android.arch.paging.LivePagedListProvider,androidx.paging.LivePagedListProvider
PagedList,android.arch.paging.PagedList,androidx.paging.PagedList
PagedListAdapter,android.arch.paging.PagedListAdapter,androidx.paging.PagedListAdapter
PagedStorage,android.arch.paging.PagedStorage,androidx.paging.PagedStorage
PagedStorageDiffHelper,android.arch.paging.PagedStorageDiffHelper,androidx.paging.PagedStorageDiffHelper
PageKeyedDataSource,android.arch.paging.PageKeyedDataSource,androidx.paging.PageKeyedDataSource
PageResult,android.arch.paging.PageResult,androidx.paging.PageResult
PositionalDataSource,android.arch.paging.PositionalDataSource,androidx.paging.PositionalDataSource
RxPagedListBuilder,android.arch.paging.RxPagedListBuilder,androidx.paging.RxPagedListBuilder
SnapshotPagedList,android.arch.paging.SnapshotPagedList,androidx.paging.SnapshotPagedList
TiledDataSource,android.arch.paging.TiledDataSource,androidx.paging.TiledDataSource
TiledPagedList,android.arch.paging.TiledPagedList,androidx.paging.TiledPagedList
WrapperItemKeyedDataSource,android.arch.paging.WrapperItemKeyedDataSource,androidx.paging.WrapperItemKeyedDataSource
WrapperPageKeyedDataSource,android.arch.paging.WrapperPageKeyedDataSource,androidx.paging.WrapperPageKeyedDataSource
WrapperPositionalDataSource,android.arch.paging.WrapperPositionalDataSource,androidx.paging.WrapperPositionalDataSource
FrameworkSQLiteDatabase,android.arch.persistence.db.framework.FrameworkSQLiteDatabase,androidx.sqlite.db.framework.FrameworkSQLiteDatabase
FrameworkSQLiteOpenHelper,android.arch.persistence.db.framework.FrameworkSQLiteOpenHelper,androidx.sqlite.db.framework.FrameworkSQLiteOpenHelper
FrameworkSQLiteOpenHelperFactory,android.arch.persistence.db.framework.FrameworkSQLiteOpenHelperFactory,androidx.sqlite.db.framework.FrameworkSQLiteOpenHelperFactory
FrameworkSQLiteProgram,android.arch.persistence.db.framework.FrameworkSQLiteProgram,androidx.sqlite.db.framework.FrameworkSQLiteProgram
FrameworkSQLiteStatement,android.arch.persistence.db.framework.FrameworkSQLiteStatement,androidx.sqlite.db.framework.FrameworkSQLiteStatement
SimpleSQLiteQuery,android.arch.persistence.db.SimpleSQLiteQuery,androidx.sqlite.db.SimpleSQLiteQuery
SupportSQLiteDatabase,android.arch.persistence.db.SupportSQLiteDatabase,androidx.sqlite.db.SupportSQLiteDatabase
SupportSQLiteOpenHelper,android.arch.persistence.db.SupportSQLiteOpenHelper,androidx.sqlite.db.SupportSQLiteOpenHelper
SupportSQLiteProgram,android.arch.persistence.db.SupportSQLiteProgram,androidx.sqlite.db.SupportSQLiteProgram
SupportSQLiteQuery,android.arch.persistence.db.SupportSQLiteQuery,androidx.sqlite.db.SupportSQLiteQuery
SupportSQLiteQueryBuilder,android.arch.persistence.db.SupportSQLiteQueryBuilder,androidx.sqlite.db.SupportSQLiteQueryBuilder
SupportSQLiteStatement,android.arch.persistence.db.SupportSQLiteStatement,androidx.sqlite.db.SupportSQLiteStatement
ColumnInfo,android.arch.persistence.room.ColumnInfo,androidx.room.ColumnInfo
Dao,android.arch.persistence.room.Dao,androidx.room.Dao
Database,android.arch.persistence.room.Database,androidx.room.Database
DatabaseConfiguration,android.arch.persistence.room.DatabaseConfiguration,androidx.room.DatabaseConfiguration
Delete,android.arch.persistence.room.Delete,androidx.room.Delete
Embedded,android.arch.persistence.room.Embedded,androidx.room.Embedded
EmptyResultSetException,android.arch.persistence.room.EmptyResultSetException,androidx.room.EmptyResultSetException
Entity,android.arch.persistence.room.Entity,androidx.room.Entity
EntityDeletionOrUpdateAdapter,android.arch.persistence.room.EntityDeletionOrUpdateAdapter,androidx.room.EntityDeletionOrUpdateAdapter
EntityInsertionAdapter,android.arch.persistence.room.EntityInsertionAdapter,androidx.room.EntityInsertionAdapter
AndroidTypeNames,android.arch.persistence.room.ext.AndroidTypeNames,androidx.room.ext.AndroidTypeNames
ArchTypeNames,android.arch.persistence.room.ext.ArchTypeNames,androidx.room.ext.ArchTypeNames
CommonTypeNames,android.arch.persistence.room.ext.CommonTypeNames,androidx.room.ext.CommonTypeNames
Element_extKt,android.arch.persistence.room.ext.Element_extKt,androidx.room.ext.Element_extKt
GuavaBaseTypeNames,android.arch.persistence.room.ext.GuavaBaseTypeNames,androidx.room.ext.GuavaBaseTypeNames
GuavaUtilConcurrentTypeNames,android.arch.persistence.room.ext.GuavaUtilConcurrentTypeNames,androidx.room.ext.GuavaUtilConcurrentTypeNames
Javapoet_extKt,android.arch.persistence.room.ext.Javapoet_extKt,androidx.room.ext.Javapoet_extKt
KotlinMetadataProcessor,android.arch.persistence.room.ext.KotlinMetadataProcessor,androidx.room.ext.KotlinMetadataProcessor
LifecyclesTypeNames,android.arch.persistence.room.ext.LifecyclesTypeNames,androidx.room.ext.LifecyclesTypeNames
PagingTypeNames,android.arch.persistence.room.ext.PagingTypeNames,androidx.room.ext.PagingTypeNames
ReactiveStreamsTypeNames,android.arch.persistence.room.ext.ReactiveStreamsTypeNames,androidx.room.ext.ReactiveStreamsTypeNames
