    com.google.android.material.animation
    com.google.android.material.appbar
    com.google.android.material.behavior
    com.google.android.material.bottomappbar
    com.google.android.material.bottomnavigation
    com.google.android.material.bottomsheet
    com.google.android.material.button
    com.google.android.material.canvas
    com.google.android.material.chip
    com.google.android.material.circularreveal
    com.google.android.material.circularreveal.cardview
    com.google.android.material.circularreveal.coordinatorlayout
    com.google.android.material.drawable
    com.google.android.material.expandable
    com.google.android.material.floatingactionbutton
    com.google.android.material.internal
    com.google.android.material.math
    com.google.android.material.navigation
    com.google.android.material.resources
    com.google.android.material.ripple
    com.google.android.material.shadow
    com.google.android.material.shape
    com.google.android.material.snackbar
    com.google.android.material.stateful
    com.google.android.material.tabs
    com.google.android.material.textfield
    com.google.android.material.theme
    com.google.android.material.transformation
